name,latitude,longitude
AsesorSeguros,40.497716,-3.647842
NotePub,40.416741,-3.70325
FeedzZ,40.4722272,-3.6532523
Adoos,40.432883,-3.8166758
MediBANK,40.4718534,-3.8203307
Gennio,40.4346935,-3.6782829
Zankyou,40.6070897,-3.6912754
cost4travel,40.4528711,-3.6149394
AsesorSeguros,40.497716,-3.647842
NotePub,40.416741,-3.70325
FeedzZ,40.4722272,-3.6532523
Adoos,40.432883,-3.8166758
MediBANK,40.4718534,-3.8203307
Gennio,40.4346935,-3.6782829
Zankyou,40.6070897,-3.6912754
cost4travel,40.4528711,-3.6149394
