name,latitude,longitude
Fon,40.530724,-3.632687
eRepublik,40.43094,-3.6952896
Videoplaza,40.4596242,-3.6923285
Busuu,40.4225487,-3.6830316
Nexway,40.4142986,-3.7033074
Comunitae,40.4905109,-3.7033403
Tuenti Technologies,40.4158236,-3.696277
Virgin Play,40.4273082,-3.6895115
ticketea,40.4455155,-3.7061764
Genasys,40.4161835,-3.6988729
BuyVIP,40.4167413,-3.7032498
Fon,40.530724,-3.632687
eRepublik,40.43094,-3.6952896
Videoplaza,40.4596242,-3.6923285
Busuu,40.4225487,-3.6830316
Nexway,40.4142986,-3.7033074
Comunitae,40.4905109,-3.7033403
Tuenti Technologies,40.4158236,-3.696277
Virgin Play,40.4273082,-3.6895115
ticketea,40.4455155,-3.7061764
Genasys,40.4161835,-3.6988729
BuyVIP,40.4167413,-3.7032498
