name,location,tipo
Starbucks Room Mate Oscar,"{'type': 'Point', 'coordinates': [40.42075183549848, -3.6993145297210788]}",starbucks
Starbucks Princesa 40,"{'type': 'Point', 'coordinates': [40.42906874005007, -3.7150786671568476]}",starbucks
Starbucks Plaza Río 2,"{'type': 'Point', 'coordinates': [40.39130385405477, -3.701122858987979]}",starbucks
Starbucks Pozuelo,"{'type': 'Point', 'coordinates': [40.43816816158585, -3.793838131943415]}",starbucks
Starbucks ECI Castellana (Starbucks),"{'type': 'Point', 'coordinates': [40.44748872381242, -3.6930934929855574]}",starbucks
Starbucks Plaza de España,"{'type': 'Point', 'coordinates': [40.423319643246955, -3.710882844657412]}",starbucks
Starbucks Preciados 27,"{'type': 'Point', 'coordinates': [40.419667845686355, -3.7061354223688325]}",starbucks
Starbucks Alcalá 21,"{'type': 'Point', 'coordinates': [40.418038185194774, -3.699371513099982]}",starbucks
"Starbucks Serrano, 100","{'type': 'Point', 'coordinates': [40.4335639178076, -3.6868293595360973]}",starbucks
Starbucks Orense 79,"{'type': 'Point', 'coordinates': [40.45957, -3.6943874]}",starbucks
Starbucks Gran Vía 30,"{'type': 'Point', 'coordinates': [40.42014039388448, -3.702886033408268]}",starbucks
Starbucks Conde de Peñalver,"{'type': 'Point', 'coordinates': [40.426066801136066, -3.6756167469058876]}",starbucks
Starbucks Juan Bravo,"{'type': 'Point', 'coordinates': [40.43296760669224, -3.6832201480865474]}",starbucks
Starbucks ECI Sanchinarro,"{'type': 'Point', 'coordinates': [40.49768721643861, -3.660368141302403]}",starbucks
Starbucks CC Dreams,"{'type': 'Point', 'coordinates': [40.46282268242124, -3.636758032267253]}",starbucks
Starbucks Reina Sofia,"{'type': 'Point', 'coordinates': [40.40885214578761, -3.693236539287397]}",starbucks
Starbucks Fuencarral 43,"{'type': 'Point', 'coordinates': [40.423112989750564, -3.700798408458431]}",starbucks
Starbucks Gran Vía 58,"{'type': 'Point', 'coordinates': [40.421751918201934, -3.7083782102926905]}",starbucks
Starbucks,"{'type': 'Point', 'coordinates': [40.41532327347708, -3.6949486687744146]}",starbucks
Starbucks Génova 27,"{'type': 'Point', 'coordinates': [40.425760357264515, -3.691781759262085]}",starbucks
Starbucks Orense 6,"{'type': 'Point', 'coordinates': [40.44772869759542, -3.6951754717412046]}",starbucks
Starbucks Príncipe Pío,"{'type': 'Point', 'coordinates': [40.421949993513195, -3.7203776278003375]}",starbucks
Starbucks Arenal 14,"{'type': 'Point', 'coordinates': [40.41719516711848, -3.706118548830636]}",starbucks
Starbucks Parquesur,"{'type': 'Point', 'coordinates': [40.3393318306369, -3.7333420586110004]}",starbucks
Starbucks,"{'type': 'Point', 'coordinates': [40.418054, -3.710009]}",starbucks
Starbucks CC La Gavia,"{'type': 'Point', 'coordinates': [40.36878210729123, -3.5969286239354488]}",starbucks
Starbucks CC Plenilunio,"{'type': 'Point', 'coordinates': [40.44638591027995, -3.587592789104539]}",starbucks
Starbucks Velázquez,"{'type': 'Point', 'coordinates': [40.4394314443529, -3.6826531171468173]}",starbucks
Starbucks ECI Méndez Álvaro,"{'type': 'Point', 'coordinates': [40.39469, -3.676454]}",starbucks
Starbucks CC La Vaguada,"{'type': 'Point', 'coordinates': [40.47963598026618, -3.707357285899872]}",starbucks
Starbucks La Finca,"{'type': 'Point', 'coordinates': [40.41888867283295, -3.800662722672292]}",starbucks
Starbucks,"{'type': 'Point', 'coordinates': [40.455039, -3.583356]}",starbucks
Starbucks,"{'type': 'Point', 'coordinates': [40.420450975922165, -3.6796733064135796]}",starbucks
Starbucks ECI Pozuelo,"{'type': 'Point', 'coordinates': [40.463101058172825, -3.806382840888177]}",starbucks
Starbucks,"{'type': 'Point', 'coordinates': [40.417539, -3.702775]}",starbucks
Starbucks CC Islazul,"{'type': 'Point', 'coordinates': [40.36350271226119, -3.7365511407333716]}",starbucks
Starbucks,"{'type': 'Point', 'coordinates': [40.44677599194058, -3.6918291111629657]}",starbucks
Starbucks Quevedo,"{'type': 'Point', 'coordinates': [40.433353, -3.703958]}",starbucks
"Starbucks Velázquez, 32","{'type': 'Point', 'coordinates': [40.424974636524, -3.684107212216363]}",starbucks
Starbucks,"{'type': 'Point', 'coordinates': [40.41748942152583, -3.70466514037747]}",starbucks
Starbucks,"{'type': 'Point', 'coordinates': [40.403120577140534, -3.687687685586035]}",starbucks
Starbucks Teatro Real,"{'type': 'Point', 'coordinates': [40.418106483857194, -3.709606077515513]}",starbucks
Starbucks San Miguel,"{'type': 'Point', 'coordinates': [40.41573297582015, -3.708717822655616]}",starbucks
Starbucks ECI Preciados,"{'type': 'Point', 'coordinates': [40.4174674, -3.7043957]}",starbucks
Starbucks,"{'type': 'Point', 'coordinates': [40.440273, -3.682125]}",starbucks
Starbucks Palace,"{'type': 'Point', 'coordinates': [40.414995, -3.695058]}",starbucks
Starbucks,"{'type': 'Point', 'coordinates': [40.421095, -3.70256]}",starbucks
