name,location,tipo
VEGA,"{'type': 'Point', 'coordinates': [40.42231841389461, -3.7060473848532434]}",veganos
B13 Bar,"{'type': 'Point', 'coordinates': [40.42192131756878, -3.703401891727494]}",veganos
pura vida vegan bar,"{'type': 'Point', 'coordinates': [40.41020847303393, -3.709029348112721]}",veganos
Levél Veggie Bistro,"{'type': 'Point', 'coordinates': [40.41573017435576, -3.6776411533355713]}",veganos
La Encomienda,"{'type': 'Point', 'coordinates': [40.410671971184456, -3.7059818747088813]}",veganos
Restaurante Yerbabuena,"{'type': 'Point', 'coordinates': [40.41636510723989, -3.707727242398462]}",veganos
Distrito Vegano,"{'type': 'Point', 'coordinates': [40.40697203771007, -3.6996788206851368]}",veganos
Veggie ROOM,"{'type': 'Point', 'coordinates': [40.42561788064848, -3.702635072690808]}",veganos
Viva Burger,"{'type': 'Point', 'coordinates': [40.41263019326825, -3.7116827479753303]}",veganos
EcoCentro,"{'type': 'Point', 'coordinates': [40.44285769821922, -3.704663591001051]}",veganos
Restaurante Vegaviana,"{'type': 'Point', 'coordinates': [40.42327219098249, -3.69815135043315]}",veganos
Loving Hut,"{'type': 'Point', 'coordinates': [40.42401204407034, -3.7093376058574345]}",veganos
La Quietud Tiyoweh,"{'type': 'Point', 'coordinates': [40.411153173926415, -3.6949271742195737]}",veganos
Sanissimo Opera,"{'type': 'Point', 'coordinates': [40.41898312431423, -3.7093189081686093]}",veganos
Superchulo,"{'type': 'Point', 'coordinates': [40.42854342009319, -3.703335598275125]}",veganos
AbonaVida,"{'type': 'Point', 'coordinates': [40.419167432049, -3.7066323369647884]}",veganos
La Galette 2 - Casa Escondida,"{'type': 'Point', 'coordinates': [40.423449262141645, -3.69254024923133]}",veganos
la oveja negra,"{'type': 'Point', 'coordinates': [40.40932203535789, -3.6998114404276556]}",veganos
Crucina,"{'type': 'Point', 'coordinates': [40.4279921776143, -3.7056230979165905]}",veganos
Yatiri,"{'type': 'Point', 'coordinates': [40.41268990000449, -3.7033725873476895]}",veganos
Artemisa,"{'type': 'Point', 'coordinates': [40.41603226767338, -3.6988907186036735]}",veganos
Viva Chapata,"{'type': 'Point', 'coordinates': [40.409386502454325, -3.701011867911508]}",veganos
faborit,"{'type': 'Point', 'coordinates': [40.42430520685062, -3.7117324643186453]}",veganos
Buns & Bones,"{'type': 'Point', 'coordinates': [40.41138511501041, -3.698781260856503]}",veganos
La Huerta de Tudela,"{'type': 'Point', 'coordinates': [40.414903, -3.698672]}",veganos
la colectiva café,"{'type': 'Point', 'coordinates': [40.42992148420876, -3.6997984076711017]}",veganos
Restaurante Emma y Julia,"{'type': 'Point', 'coordinates': [40.412548866196914, -3.7089612913940404]}",veganos
Magasand Columela,"{'type': 'Point', 'coordinates': [40.421089, -3.687984]}",veganos
Celicioso,"{'type': 'Point', 'coordinates': [40.42035332093108, -3.701026992853141]}",veganos
Chocolatería San Ginés,"{'type': 'Point', 'coordinates': [40.416754336997364, -3.7070788402276738]}",veganos
Cafelito,"{'type': 'Point', 'coordinates': [40.40836, -3.702761]}",veganos
LUSH,"{'type': 'Point', 'coordinates': [40.424201289338214, -3.7007108317088933]}",veganos
Le Pain Quotidien,"{'type': 'Point', 'coordinates': [40.4268909, -3.6877543]}",veganos
In Dreams Café,"{'type': 'Point', 'coordinates': [40.42512341734758, -3.700366093813168]}",veganos
LUSH,"{'type': 'Point', 'coordinates': [40.42534518682694, -3.6745260508792623]}",veganos
Martina Cocina,"{'type': 'Point', 'coordinates': [40.41032642228989, -3.707408124939636]}",veganos
Swinton & Grant,"{'type': 'Point', 'coordinates': [40.40595337214276, -3.70187059849157]}",veganos
Real Food Organic,"{'type': 'Point', 'coordinates': [40.454354439253486, -3.67754882607362]}",veganos
La Bicicleta Café,"{'type': 'Point', 'coordinates': [40.42378960159269, -3.7022626514465546]}",veganos
Bar Díaz,"{'type': 'Point', 'coordinates': [40.40391697881932, -3.7015548681887758]}",veganos
Shi-Shang,"{'type': 'Point', 'coordinates': [40.4207436951422, -3.7048809200424286]}",veganos
El Rincón de Fogg,"{'type': 'Point', 'coordinates': [40.404065, -3.677902]}",veganos
Food Truck,"{'type': 'Point', 'coordinates': [40.42381557557015, -3.6960864532494018]}",veganos
Honest Greens,"{'type': 'Point', 'coordinates': [40.449974935071666, -3.692594833175397]}",veganos
ANTICAFÉ,"{'type': 'Point', 'coordinates': [40.41681196305672, -3.710271670344014]}",veganos
Krachai,"{'type': 'Point', 'coordinates': [40.425341641247975, -3.6962992873730958]}",veganos
Home Burger Bar,"{'type': 'Point', 'coordinates': [40.42184030676169, -3.7055202641854845]}",veganos
Matadero Madrid,"{'type': 'Point', 'coordinates': [40.39227020881504, -3.697500228881836]}",veganos
Yoka Loka,"{'type': 'Point', 'coordinates': [40.41161458501999, -3.698692811574475]}",veganos
Mercadona,"{'type': 'Point', 'coordinates': [40.38630457090209, -3.690939566631501]}",veganos
Plaza del Callao,"{'type': 'Point', 'coordinates': [40.42014480521912, -3.705762832193117]}",veganos
UDON,"{'type': 'Point', 'coordinates': [40.417708760901405, -3.702693923786134]}",veganos
El Secuestrador de Besos,"{'type': 'Point', 'coordinates': [40.411696063753496, -3.706573989526153]}",veganos
El Huerto de Lucas,"{'type': 'Point', 'coordinates': [40.4239026102464, -3.696011855876174]}",veganos
El Rey de Tallarines,"{'type': 'Point', 'coordinates': [40.42463232285319, -3.7094618927934717]}",veganos
Malvy's Shakes,"{'type': 'Point', 'coordinates': [40.421469, -3.701465]}",veganos
VIPS Goya,"{'type': 'Point', 'coordinates': [40.42507517112629, -3.679520355351901]}",veganos
